SeqID,Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation,Council Districts,Councils,Communities,Zip Codes,Municipalities
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,16-303(d),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown",POSSESSING SUSPENDED LIC.,INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,16-301(j),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,21-902(a2),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 27-103,INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,16-303(h),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,21-901.1(b),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
399e8f6b-eff8-4375-94c8-5eb9aca4be84,01/01/2012,03:05:00,MCP,"5th District, Germantown",EXCEEDING MAXIMUM SPEED: 83 MPH IN A POSTED 55 MPH ZONE,INNER LOOPE 495 @ WISCONSION AVE,39.0708319,-77.1625988666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,ACCORD,BLACK,Citation,21-801.1,Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0708319, -77.162598866667)",3,3,25,53,12
fbad3d3e-85a6-4c14-9e28-b620da08a22e,01/01/2012,03:04:00,MCP,"3rd District, Silver Spring",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH.DAMAGE,SLIGO CREEK PARKWAY @ FOREST GLEN RD,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994,LEX,4S,GREEN,Citation,20-103(b),Transportation Article,false,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(0.0, 0.0)",,,,,
cb7a37f3-f70f-49e6-bdf4-5de89be373cb,01/01/2012,03:02:00,MCP,"4th District, Wheaton",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,GEORGIA AVE NB LN 2 @ SHOREFIELD RD.,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,VOLVO,S40,"BLUE, DARK",Citation,21-902(a1),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(0.0, 0.0)",,,,,
cb7a37f3-f70f-49e6-bdf4-5de89be373cb,01/01/2012,03:02:00,MCP,"4th District, Wheaton",DRIVING WHILE IMPAIRED BY ALCOHOL,GEORGIA AVE NB LN 2 @ SHOREFIELD RD.,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,VOLVO,S40,"BLUE, DARK",Citation,21-902(b1),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(0.0, 0.0)",,,,,
cb7a37f3-f70f-49e6-bdf4-5de89be373cb,01/01/2012,03:02:00,MCP,"4th District, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",GEORGIA AVE NB LN 2 @ SHOREFIELD RD.,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,VOLVO,S40,"BLUE, DARK",Citation,21-901.1(b),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(0.0, 0.0)",,,,,
